Step,Mode,Time,SC:10,TA:10,GA:10,SC_d:100,TA_d:100,GA_d:100
0,1,0.4,24.40327682,,,297.7541479,,
0,1,0.8,23.2659436,,,281.6739028,,
0,1,1.2,22.18709335,,,266.4864116,,
0,1,1.6,21.18876918,,,252.1383845,,
0,1,2,20.32553802,,,238.5806659,,
1,2,2.066666667,20.35481411,,,238.5966676,,
1,2,2.133333333,20.38491277,,,238.6135024,,
1,2,2.2,20.41430297,,,238.6303281,,
1,2,2.266666667,20.442945,,,238.6471443,,
1,2,2.333333333,20.47084434,,,238.6639511,,
2,3,2.733333333,19.76801061,,,226.4722424,,
2,3,0.8,19.14601783,,,214.3206718,,
2,3,1.2,18.60750492,,,202.832305,,
2,3,1.6,18.13193671,,,191.9686951,,
2,3,2,17.7086201,,,181.6943545,,
3,4,0.066666667,17.77906363,,,181.7136653,,
3,4,0.133333333,17.8529362,,,181.7339791,,
3,4,0.2,17.92647517,,,181.7542793,,
3,4,0.266666667,17.99959153,,,181.7745652,,
3,4,0.333333333,18.07221407,,,181.7948363,,
4,5,0.4,17.68944485,,,172.5463572,,
4,5,0.8,17.33268535,,,163.3206706,,
4,5,1.2,17.01576345,,,154.5922104,,
4,5,1.6,16.73344236,,,146.333278,,
4,5,2,16.48184115,,,138.5173834,,
5,6,0.066666667,16.56890122,,,138.5343355,,
5,6,0.133333333,16.66051732,,,138.5521685,,
5,6,0.2,16.75205775,,,138.5699904,,
5,6,0.266666667,16.84345743,,,138.5878001,,
5,6,0.333333333,16.9346514,,,138.6055975,,
6,7,0.4,16.70165324,,,131.5653569,,
6,7,0.8,16.48655537,,,124.538627,,
6,7,1.2,16.29772649,,,117.8873904,,
6,7,1.6,16.13183127,,,111.5906292,,
6,7,2,15.98652477,,,105.62888,,
7,8,0.066666667,16.08605666,,,105.6413623,,
7,8,0.133333333,16.19098689,,,105.6544924,,
7,8,0.2,16.29603186,,,105.6676133,,
7,8,0.266666667,16.40114531,,,105.6807242,,
7,8,0.333333333,16.50626884,,,105.6938249,,
8,8,0.4,16.36827455,,,100.3215832,,
8,9,0.8,16.24467515,,,94.95772312,,
8,9,1.2,16.13972634,,,89.87859719,,
8,9,1.6,16.05104797,,,85.06853928,,
8,9,2,15.97703054,,,80.51303705,,
9,10,0.066666667,16.08743871,,,80.52071056,,
9,10,0.133333333,16.20396176,,,80.52878,,
9,10,0.2,16.32074564,,,80.53684141,,
9,10,0.266666667,16.4377569,,,80.54489415,,
9,10,0.333333333,16.55494058,,,80.55293805,,
10,11,0.4,16.481324,,,76.44728206,4.830330475,,
10,11,0.8,16.42041001,,,72.34710107,4.152595886,,
10,11,1.2,16.37352313,,,68.46376756,3.700596925,,
10,11,1.6,16.33877962,,,64.78552422,3.374669706,,
10,11,2,16.31496346,,,61.30146892,3.122793595,,
11,12,0.066666667,16.43567121,,,61.30488307,,
11,12,0.133333333,16.56314297,,,61.30846971,,
11,12,0.2,16.69098175,,,61.31204909,,
11,12,0.266666667,16.81916058,,,61.3156206,,
11,12,0.333333333,16.94762403,,,61.31918409,,
12,13,0.4,16.91924477,,,58.17949528,,
12,13,0.8,16.90283268,,,55.04381096,,
12,13,1.2,16.8974987,,,52.0739032,,
12,13,1.6,16.90159852,,,49.26091282,,
12,13,2,16.91412278,,,46.59661957,,
13,14,36.5,,,189.5907829,,
13,14,73,,,512.2250068,,
13,14,109.5,,,655.8588326,,
13,14,146,,,702.5833111,,
13,14,182.5,,,716.8597002,,
13,14,219,,,721.306912,,
13,14,255.5,,,723.7167364,,
13,14,292,,,726.585446,,
13,14,328.5,,,731.6208836,,
13,14,365,,,739.5665558,,
