Time,F:0.1,M:0.1,K:0.1,Mode,Step
1,24.628,42.8029,0.205136,1,0
2,24.2975,42.0122,0.353218,1,0
3,23.9939,41.2282,0.477232,1,0
4,23.7097,40.451,0.583984,1,0
5,23.4403,39.6806,0.67757,1,0
6,23.1825,38.9171,0.760682,1,0
7,22.9344,38.1607,0.835201,1,0
8,22.6942,37.4113,0.902504,1,0
9,22.461,36.6689,0.963634,1,0
10,22.2336,35.9336,1.0194,1,0
11,22.0115,35.2053,1.07046,1,0
12,21.7939,34.4842,1.11733,1,0
13,21.5805,33.7702,1.16045,1,0
14,21.3707,33.0634,1.20018,1,0
15,21.1642,32.3636,1.23683,1,0
16,20.9607,31.6711,1.27067,1,0
17,20.7599,30.9856,1.30191,1,0
18,20.5617,30.3074,1.33076,1,0
19,20.3657,29.6363,1.3574,1,0
20,20.1719,28.9724,1.38196,1,0
21,19.98,28.3156,1.4046,1,0
22,19.7899,27.6661,1.42543,1,0
23,19.6014,27.0237,1.44457,1,0
24,19.4146,26.3886,1.4621,1,0
25,19.2291,25.7606,1.47811,1,0
